,TEAM,PITCH_W,PITCH_L,PITCH_ERA,PITCH_CG,PITCH_ShO,PITCH_SV,PITCH_HLD,PITCH_BS,PITCH_H,PITCH_R,PITCH_ER,PITCH_HR,PITCH_BB,PITCH_IBB,PITCH_HBP,PITCH_WP,PITCH_BK,PITCH_SO,PITCH_GB,PITCH_FB,PITCH_LD,PITCH_Balls,PITCH_Strikes,PITCH_Pitches,PITCH_RS,PITCH_Kper9,PITCH_BBper9,PITCH_KperBB,PITCH_Hper9,PITCH_HRper9,PITCH_AVG,PITCH_WHIP,PITCH_BABIP,PITCH_LOB,PITCH_FIP,PITCH_GBperFB,PITCH_IFFB,PITCH_HRperFB,PITCH_IFH,PITCH_BUH,PITCH_Starting,PITCH_Relieving,PITCH_Start_IP,PITCH_Relief_IP,PITCH_K,PITCH_RSper9,PITCH_Age,PITCH_xFIP,BATTING_PA,BATTING_HR,BATTING_R,BATTING_RBI,BATTING_SB,BATTING_ISO,BATTING_BABIP,BATTING_AVG,BATTING_OBP,BATTING_SLG,BATTING_wOBA,BATTING_wRC_Plus,BATTING_H,BATTING_X1B,BATTING_X2B,BATTING_X3B,BATTING_BB,BATTING_IBB,BATTING_SO,BATTING_HBP,BATTING_SF,BATTING_GDP,BATTING_CS,BATTING_BB.1,BATTING_K,BATTING_BB_to_K,BATTING_GB_to_FB,BATTING_LD,BATTING_GB,BATTING_FB,BATTING_IFFB,BATTING_IFH,BATTING_BUH,BATTING_Pull,BATTING_Cent,BATTING_Oppo,BATTING_Soft,BATTING_Med,BATTING_Hard,BATTING_HR_to_FB,FIELDING_UZR,FIELDING_DRS,FIELDING_E,FIELDING_DP,FIELDING_rSB,FIELDING_rGDP,FIELDING_rARM,FIELDING_rGFP,FIELDING_rPM,FIELDING_BIZ,FIELDING_Plays,FIELDING_RZR,FIELDING_OOZ,FIELDING_TZL,FIELDING_FSR,FIELDING_ARM,FIELDING_DPR,FIELDING_RngR,FIELDING_ErrR,FIELDING_Def,FIELDING_RPP,FIELDING_CPP,FIELDING_FE,FIELDING_TE,FIELDING_DPS,FIELDING_DPT,FIELDING_DPF,FIELDING_Scp,FIELDING_SB,FIELDING_CS,FIELDING_PB,FIELDING_WP,FIELDING_FP,FIELDING_PO,FIELDING_A
13,Indians,1764,1636,4.27,137,49,795,1107,301,30620,15702,14417,3499,10708,749,1122,1036,95,24590,33440,25781,15164,144584,254164,398748,12858,7.29,3.17,2.3,9.07,1.04,0.258,1.36,0.3,0.712,4.15,1.3,0.1,0.109,0.066,0.284,2725.6,740,19993.3,10248.9,0.189,4.71,28,4.07,131769,3772,16564,15800,2018,0.162,0.301,0.264,0.336,0.426,0.332,103,30864,20076,6450,566,11922,678,24044,1283,1032,2668,799,0.09,0.182,0.5,1.19,0.205,0.432,0.363,0.097,0.058,0.278,0.429,0.321,0.249,0.159,0.549,0.293,0.108,-158.4,-84,2103,7890,2,25,21,1,-104,37419,30249,0.808,6919,NA,-62,2.6,16.2,-158,-19.2,-168.7,-13.3,418,942,741,2661,2014,2644,497,3725,865,215,1037,0.984,91121,34400
14,Mariners,1682,1719,4.24,134,55,901,1191,352,30074,15433,14319,3724,10674,691,1160,1202,113,23337,32028,28026,15013,146392,252324,398716,11664,6.92,3.16,2.19,8.92,1.1,0.255,1.34,0.289,0.722,4.33,1.14,0.107,0.107,0.06,0.284,2261.1,585.2,20192.5,10036.1,0.18,4.27,28,4.28,130148,3491,15216,14461,2173,0.148,0.297,0.26,0.325,0.408,0.32,98,30391,20648,5716,536,10547,760,23513,1080,925,2536,822,0.081,0.181,0.45,1.28,0.199,0.45,0.351,0.105,0.071,0.266,0.401,0.331,0.268,0.172,0.554,0.274,0.1,197.5,9,1978,7879,10,50,-10,-13,-26,37384,30225,0.809,7499,NA,19,-21.3,54,144.7,20.1,199.4,-41.1,436,885,653,2582,1953,2571,503,1560,781,248,1202,0.984,91079,33172
15,Marlins,1579,1819,4.34,102,45,815,1300,375,30408,15853,14602,3226,12207,1159,1190,1075,120,24059,31999,26315,15217,151690,253018,404708,11721,7.15,3.63,1.97,9.03,0.96,0.257,1.41,0.299,0.712,4.22,1.22,0.102,0.097,0.064,0.198,2132.6,429.9,19458.2,10699.7,0.183,4.3,27,4.28,129848,3122,14552,13782,2140,0.144,0.303,0.258,0.324,0.401,0.316,92,29858,20182,5832,722,10500,900,25293,1227,870,2529,873,0.081,0.195,0.42,1.35,0.205,0.457,0.338,0.107,0.067,0.227,0.394,0.338,0.269,0.182,0.54,0.278,0.104,-91.5,-386,2166,7794,-9,1,5,-66,-250,36424,29188,0.801,7101,NA,-33,0.8,33.5,-151.2,25.4,-104.9,-2.4,432,871,791,2549,1909,2541,486,1770,844,240,1075,0.983,90889,33540
16,Mets,1707,1694,4.04,98,51,876,1218,327,29741,14801,13670,3402,11079,1038,1147,877,112,24703,32340,26488,14949,149315,256177,405492,11883,7.3,3.28,2.23,8.79,1.01,0.251,1.34,0.292,0.73,4.14,1.22,0.106,0.103,0.07,0.187,2480.2,481.8,20093.1,10213.9,0.189,4.34,29,4.19,130418,3369,14891,14181,2143,0.148,0.292,0.255,0.325,0.403,0.318,95,29455,19629,5879,578,11427,1033,23825,1116,907,2570,789,0.088,0.183,0.48,1.21,0.206,0.435,0.36,0.103,0.063,0.209,0.401,0.335,0.264,0.178,0.543,0.279,0.102,-104.6,-186,2137,7120,-47,-36,35,-19,-119,36474,29328,0.804,7151,NA,-273,34.9,-16.5,-72.3,-50.7,-175.9,-3.3,437,929,783,2353,1816,2341,565,3897,773,223,877,0.983,91305,33480
17,Orioles,1556,1844,4.68,115,27,794,1099,341,31441,16870,15736,4053,11936,711,1202,1075,106,22538,33471,27606,15323,155209,256176,411385,12333,6.71,3.55,1.89,9.36,1.21,0.265,1.43,0.297,0.712,4.66,1.21,0.101,0.119,0.066,0.309,1780.7,453.8,19345.6,10757.4,0.171,4.53,28,4.46,129931,3901,15482,14778,1771,0.158,0.293,0.262,0.324,0.42,0.324,97,30725,20427,5991,406,10035,592,22629,1131,917,2792,732,0.077,0.174,0.44,1.18,0.197,0.435,0.368,0.111,0.066,0.293,0.421,0.324,0.255,0.174,0.542,0.284,0.113,-93.9,-136,2011,8201,6,32,50,70,-272,37910,30485,0.804,7268,NA,119,38.4,19.3,-211.2,59.7,-77.7,22.2,431,836,737,2705,2089,2697,592,1800,798,221,1075,0.984,90727,34548
18,Padres,1610,1793,4.14,70,29,898,1312,313,29706,15261,13980,3548,11101,977,1060,1073,103,24818,32725,25551,14882,148177,254026,402203,11158,7.35,3.29,2.24,8.8,1.05,0.252,1.34,0.292,0.721,4.19,1.28,0.098,0.11,0.063,0.209,1806.1,669.7,19626.3,10624.8,0.191,4.08,28,4.1,129387,3073,14158,13437,2156,0.14,0.292,0.248,0.319,0.388,0.31,92,28540,19264,5541,662,11337,797,25680,988,899,2463,805,0.088,0.198,0.44,1.27,0.203,0.447,0.35,0.1,0.062,0.211,0.402,0.337,0.261,0.174,0.547,0.278,0.097,-137.4,61,2213,7308,-21,-37,-112,3,227,35966,29026,0.807,7325,NA,-131,-88.4,-34.4,-56.9,42.2,-204.1,12.3,472,852,820,2441,1807,2429,543,4248,810,273,1074,0.983,91202,34208
19,Phillies,1708,1693,4.27,142,60,839,1247,330,30385,15553,14430,3775,10762,912,1289,1021,112,24748,32662,26048,15153,145501,254279,399780,12525,7.31,3.18,2.3,8.98,1.12,0.256,1.35,0.295,0.724,4.27,1.25,0.11,0.115,0.064,0.206,2415.7,498.8,20143.9,10177.2,0.189,4.57,28,4.1,131560,3568,15533,14781,2168,0.156,0.296,0.257,0.328,0.413,0.323,94,29952,19658,6001,725,11618,1047,24829,1236,869,2404,631,0.088,0.189,0.47,1.24,0.208,0.439,0.353,0.102,0.06,0.203,0.411,0.34,0.248,0.178,0.533,0.289,0.114,110.2,-176,1973,7313,-22,5,110,8,-204,36223,29203,0.806,6890,NA,-45,55.4,-1.6,-14,70.4,90.5,30.3,406,864,683,2446,1806,2437,487,1769,725,219,1021,0.985,91349,33947
20,Pirates,1551,1845,4.3,81,32,846,1353,324,30903,15823,14472,3294,11614,1052,1309,1223,116,22901,34542,24846,15550,147567,248466,396033,11490,6.81,3.45,1.97,9.19,0.98,0.261,1.41,0.299,0.714,4.28,1.39,0.093,0.107,0.066,0.225,1996.8,457.5,19369.7,10763.9,0.174,4.22,28,4.26,129374,3081,14365,13697,1852,0.143,0.297,0.254,0.321,0.397,0.314,90,29382,19741,5887,673,10244,815,24769,1477,874,2510,861,0.079,0.191,0.41,1.3,0.203,0.451,0.347,0.097,0.068,0.179,0.406,0.337,0.257,0.176,0.553,0.271,0.098,-276.1,-148,2380,8506,-9,32,-2,-23,-169,36972,29521,0.799,7354,NA,-56,-10.8,12.9,-252.4,-25.8,-297,2.1,518,1005,798,2796,2120,2776,515,1926,806,238,1223,0.982,90780,36993
21,Rangers,1724,1679,4.71,98,39,886,1276,310,31842,17144,15801,3813,11499,607,1290,1139,133,22261,33342,27163,16003,153471,254873,408344,13599,6.63,3.43,1.94,9.49,1.14,0.267,1.43,0.301,0.7,4.54,1.23,0.104,0.112,0.064,0.271,2025.2,734.8,19257.9,10795.9,0.169,5,28,4.42,131382,4263,17222,16408,1991,0.172,0.302,0.269,0.334,0.441,0.336,100,31625,20483,6273,606,10827,667,23738,1202,1008,2610,796,0.082,0.181,0.46,1.16,0.205,0.428,0.367,0.101,0.068,0.302,0.41,0.335,0.255,0.162,0.541,0.297,0.123,88,-124,2306,8433,-3,31,-5,-39,-37,37868,30370,0.802,7440,NA,154,30.3,7.2,78.9,-28.4,73.8,-16.2,403,980,813,2782,2142,2776,551,3215,797,207,1139,0.982,90612,34003
22,Rays,1590,1810,4.37,104,41,847,1217,323,29885,15982,14683,3788,11496,655,1300,1264,114,24110,30817,28162,14759,150312,254554,404866,12144,7.17,3.42,2.1,8.89,1.13,0.254,1.37,0.291,0.714,4.4,1.09,0.11,0.108,0.065,0.296,2051.4,385.6,19356.5,10751.2,0.185,4.46,27,4.31,129656,3417,14941,14222,2486,0.151,0.297,0.256,0.325,0.407,0.32,97,29660,19690,5847,706,10942,594,25070,1260,951,2476,994,0.084,0.193,0.44,1.2,0.198,0.437,0.365,0.109,0.066,0.316,0.424,0.326,0.25,0.167,0.551,0.282,0.108,342.1,171,2171,7486,-8,3,73,0,50,36059,28863,0.8,7768,NA,214,41.2,-22.6,407.3,-83.7,328,-18.1,393,868,789,2417,1802,2406,622,1710,819,227,1263,0.983,90733,32437
