Team,W,ERA,H,R,ER,HR,BB,SO,KsPer9,BBper9,KperBB,Hper9,HRper9,AVG,WHIP,BABIP,LOB_pct,FIP,RAR,K_pct,BB_pct
Orioles,69,4.92,1568,860,791,210,535,1044,6.49,3.33,1.95,9.75,1.31,0.273,1.45,0.302,0.7,4.67,56.7,0.165,0.09
Rays,90,3.19,1233,577,518,139,469,1383,8.53,2.89,2.95,7.6,0.86,0.225,1.17,0.277,0.76,3.51,221.8,0.231,0.08
Nationals,98,3.34,1296,594,545,129,497,1325,8.12,3.05,2.67,7.94,0.79,0.232,1.22,0.282,0.75,3.54,176,0.216,0.08
Reds,97,3.34,1356,588,540,152,427,1248,7.73,2.64,2.92,8.4,0.94,0.243,1.23,0.288,0.77,3.72,193.3,0.206,0.07
Dodgers,86,3.35,1277,597,540,122,539,1276,7.92,3.35,2.37,7.93,0.76,0.233,1.25,0.283,0.75,3.64,178.3,0.21,0.09
Braves,94,3.42,1310,600,549,145,464,1232,7.67,2.89,2.66,8.16,0.9,0.239,1.23,0.284,0.75,3.74,141.1,0.206,0.08
Athletics,94,3.5,1360,614,571,147,462,1136,6.96,2.83,2.46,8.33,0.9,0.242,1.24,0.279,0.75,3.89,172.7,0.185,0.08
Giants,94,3.68,1361,649,593,142,489,1237,7.67,3.03,2.53,8.44,0.88,0.243,1.27,0.289,0.74,3.78,120.4,0.202,0.08
Cardinals,88,3.71,1420,648,603,134,436,1218,7.49,2.68,2.79,8.74,0.82,0.25,1.27,0.298,0.73,3.62,164.3,0.198,0.07
Mariners,75,3.76,1359,651,609,166,449,1166,7.2,2.77,2.6,8.4,1.03,0.244,1.24,0.282,0.74,4,138.3,0.192,0.07
Tigers,88,3.77,1409,670,599,151,438,1318,8.29,2.76,3.01,8.86,0.95,0.253,1.29,0.307,0.73,3.63,218.5,0.218,0.07
Yankees,95,3.85,1401,668,619,190,431,1318,8.21,2.68,3.06,8.72,1.18,0.25,1.27,0.296,0.75,3.98,191,0.217,0.07
Phillies,81,3.86,1387,680,622,178,409,1385,8.59,2.54,3.39,8.6,1.1,0.247,1.24,0.298,0.73,3.72,181.6,0.228,0.07
Orioles,93,3.9,1433,705,642,184,481,1177,7.14,2.92,2.45,8.7,1.12,0.249,1.29,0.285,0.74,4.2,154.8,0.188,0.08
Pirates,79,3.91,1357,674,623,153,490,1192,7.48,3.08,2.43,8.52,0.96,0.244,1.29,0.286,0.73,3.94,96.8,0.196,0.08
Diamondbacks,81,3.94,1432,688,628,155,417,1200,7.53,2.62,2.88,8.99,0.97,0.256,1.29,0.301,0.72,3.81,151.9,0.198,0.07
Padres,76,4.01,1356,710,640,162,539,1205,7.56,3.38,2.24,8.51,1.02,0.244,1.32,0.284,0.72,4.11,74.4,0.196,0.09
Angels,89,4.02,1339,699,640,186,483,1157,7.26,3.03,2.4,8.41,1.17,0.243,1.27,0.277,0.73,4.26,84.5,0.192,0.08
Rangers,93,4.02,1378,707,644,175,446,1286,8.03,2.78,2.88,8.6,1.09,0.247,1.26,0.292,0.72,3.9,196.6,0.212,0.07
White Sox,85,4.02,1365,676,646,186,503,1246,7.76,3.13,2.48,8.5,1.16,0.247,1.29,0.288,0.75,4.23,154.2,0.204,0.08
Mets,74,4.09,1368,709,652,161,488,1240,7.78,3.06,2.54,8.59,1.01,0.246,1.29,0.29,0.71,3.93,138.7,0.204,0.08
Marlins,69,4.1,1448,724,657,133,495,1113,6.95,3.09,2.25,9.05,0.83,0.257,1.35,0.3,0.7,3.89,113.4,0.18,0.08
Brewers,83,4.22,1458,733,682,169,525,1402,8.68,3.25,2.67,9.03,1.05,0.256,1.36,0.313,0.72,3.82,161.4,0.225,0.08
Royals,72,4.3,1504,746,693,163,542,1177,7.3,3.36,2.17,9.33,1.01,0.266,1.41,0.311,0.72,4.18,129.2,0.188,0.09
Cubs,61,4.51,1399,759,708,175,573,1128,7.18,3.65,1.97,8.91,1.11,0.254,1.39,0.291,0.71,4.46,41.1,0.184,0.09
Astros,55,4.57,1493,794,722,173,540,1170,7.4,3.41,2.17,9.44,1.09,0.264,1.43,0.306,0.7,4.27,84.4,0.188,0.09
Blue Jays,73,4.64,1439,784,745,204,574,1142,7.12,3.58,1.99,8.97,1.27,0.258,1.39,0.291,0.72,4.66,68.4,0.184,0.09
Red Sox,69,4.72,1449,806,757,190,529,1176,7.33,3.3,2.22,9.04,1.19,0.258,1.37,0.296,0.7,4.41,66.2,0.189,0.09
Twins,66,4.77,1536,832,762,198,465,943,5.9,2.91,2.03,9.61,1.24,0.27,1.39,0.294,0.69,4.66,33.3,0.152,0.08
Indians,68,4.79,1503,845,767,174,543,1086,6.78,3.39,2,9.38,1.09,0.264,1.42,0.3,0.68,4.4,84.4,0.173,0.09
Rockies,64,5.22,1637,890,824,198,566,1144,7.24,3.58,2.02,10.36,1.25,0.284,1.55,0.325,0.69,4.59,63.9,0.179,0.09
Braves,96,3.18,1326,548,512,127,409,1232,7.65,2.54,3.01,8.23,0.79,0.24,1.2,0.288,0.77,3.44,164.3,0.206,0.07
Dodgers,92,3.25,1321,582,524,127,460,1292,8.02,2.85,2.81,8.2,0.79,0.239,1.23,0.291,0.76,3.45,174.5,0.214,0.08
Pirates,94,3.27,1299,577,535,101,515,1261,7.72,3.15,2.45,7.95,0.62,0.234,1.23,0.285,0.75,3.42,157.9,0.205,0.08
Reds,90,3.38,1294,589,554,170,435,1296,7.91,2.66,2.98,7.9,1.04,0.232,1.17,0.273,0.78,3.81,150.5,0.213,0.07
Cardinals,97,3.43,1366,596,556,112,451,1254,7.73,2.78,2.78,8.42,0.69,0.244,1.24,0.297,0.75,3.39,172.3,0.205,0.07
Royals,86,3.45,1366,601,555,155,469,1208,7.51,2.91,2.58,8.49,0.96,0.247,1.27,0.29,0.77,3.83,152.8,0.2,0.08
Athletics,96,3.56,1339,625,574,163,428,1183,7.33,2.65,2.76,8.3,1.01,0.239,1.22,0.276,0.75,3.83,148.5,0.195,0.07
Nationals,86,3.59,1367,626,576,142,405,1236,7.69,2.52,3.05,8.51,0.88,0.245,1.23,0.291,0.74,3.55,152.3,0.205,0.07
Tigers,93,3.61,1369,624,587,128,462,1428,8.79,2.84,3.09,8.42,0.79,0.244,1.25,0.306,0.74,3.27,237.8,0.233,0.08
Rangers,91,3.63,1370,636,590,157,498,1309,8.05,3.06,2.63,8.43,0.97,0.245,1.28,0.293,0.76,3.77,185.1,0.213,0.08
Marlins,62,3.71,1376,646,602,121,526,1177,7.26,3.24,2.24,8.48,0.75,0.246,1.3,0.292,0.73,3.69,114,0.191,0.09
Rays,92,3.74,1315,646,608,153,482,1310,8.05,2.96,2.72,8.08,0.94,0.237,1.23,0.284,0.74,3.71,154.8,0.215,0.08
Mets,74,3.78,1442,684,621,152,458,1209,7.37,2.79,2.64,8.79,0.93,0.251,1.29,0.295,0.73,3.79,138.6,0.194,0.07
Red Sox,97,3.79,1366,656,613,156,524,1294,8.01,3.24,2.47,8.46,0.97,0.245,1.3,0.294,0.75,3.84,145,0.211,0.09
Indians,92,3.82,1359,662,611,147,554,1379,8.61,3.46,2.49,8.49,0.92,0.245,1.33,0.302,0.74,3.73,146.8,0.224,0.09
Brewers,74,3.84,1401,687,615,175,466,1125,7.02,2.91,2.41,8.74,1.09,0.251,1.29,0.286,0.74,4.12,88.8,0.184,0.08
Diamondbacks,81,3.92,1460,695,651,176,485,1218,7.33,2.92,2.51,8.79,1.06,0.252,1.3,0.292,0.75,4.04,85.5,0.192,0.08
Yankees,85,3.94,1452,671,634,171,437,1233,7.67,2.72,2.82,9.03,1.06,0.257,1.31,0.302,0.75,3.89,162.7,0.201,0.07
Padres,76,3.98,1407,700,643,156,525,1171,7.24,3.25,2.23,8.7,0.96,0.251,1.33,0.292,0.73,4,69.7,0.19,0.09
White Sox,63,4,1424,723,646,182,509,1249,7.73,3.15,2.45,8.81,1.13,0.252,1.33,0.295,0.73,4.13,142.9,0.201,0.08
Cubs,66,4,1332,689,643,160,540,1184,7.36,3.36,2.19,8.28,0.99,0.24,1.29,0.279,0.73,4.1,81.5,0.193,0.09
Giants,76,4,1380,691,643,145,521,1256,7.81,3.24,2.41,8.58,0.9,0.247,1.31,0.295,0.72,3.8,81,0.204,0.09
Orioles,85,4.2,1438,709,678,202,473,1169,7.24,2.93,2.47,8.91,1.25,0.256,1.32,0.291,0.75,4.33,98,0.19,0.08
Angels,78,4.24,1475,737,687,167,533,1200,7.41,3.29,2.25,9.11,1.03,0.258,1.38,0.3,0.72,4.08,85.7,0.191,0.09
Blue Jays,74,4.26,1451,756,688,195,500,1208,7.49,3.1,2.42,8.99,1.21,0.255,1.34,0.293,0.72,4.3,90.6,0.193,0.08
Mariners,71,4.32,1467,754,703,174,478,1297,7.97,2.94,2.71,9.01,1.07,0.256,1.33,0.303,0.71,3.89,124.8,0.207,0.08
Phillies,73,4.34,1465,749,692,152,506,1199,7.51,3.17,2.37,9.18,0.95,0.26,1.37,0.306,0.71,3.94,112,0.193,0.08
Rockies,74,4.44,1545,760,708,136,517,1064,6.67,3.24,2.06,9.68,0.85,0.271,1.44,0.314,0.7,3.96,135.6,0.17,0.08
Twins,66,4.55,1591,788,734,168,458,985,6.11,2.84,2.15,9.87,1.04,0.276,1.41,0.309,0.7,4.23,83,0.157,0.07
Astros,51,4.79,1530,848,767,191,616,1084,6.78,3.85,1.76,9.56,1.19,0.269,1.49,0.303,0.7,4.67,16.9,0.17,0.1
Nationals,96,3.03,1351,555,495,110,352,1288,7.88,2.15,3.66,8.27,0.67,0.241,1.16,0.294,0.75,3.18,208.5,0.214,0.06
Mariners,87,3.17,1240,554,512,137,463,1317,8.16,2.87,2.84,7.69,0.85,0.227,1.17,0.275,0.77,3.61,136.8,0.221,0.08
Athletics,88,3.22,1269,572,524,147,406,1244,7.65,2.5,3.06,7.8,0.9,0.23,1.14,0.272,0.76,3.67,138.3,0.208,0.07
Padres,77,3.27,1300,577,523,117,462,1284,8.03,2.89,2.78,8.13,0.73,0.236,1.22,0.289,0.75,3.46,140.9,0.214,0.08
Braves,79,3.38,1369,597,547,121,472,1301,8.05,2.92,2.76,8.47,0.75,0.245,1.27,0.3,0.75,3.47,147.7,0.214,0.08
Dodgers,94,3.4,1338,617,554,142,429,1373,8.44,2.64,3.2,8.22,0.87,0.239,1.21,0.292,0.74,3.48,149.1,0.226,0.07
Orioles,96,3.44,1342,593,558,151,472,1174,7.23,2.91,2.49,8.27,0.93,0.241,1.24,0.28,0.77,3.96,124,0.192,0.08
Pirates,88,3.49,1341,631,565,128,499,1228,7.59,3.08,2.46,8.29,0.79,0.242,1.26,0.29,0.74,3.8,90.1,0.2,0.08
Mets,79,3.49,1370,618,568,141,509,1303,8.01,3.13,2.56,8.42,0.87,0.244,1.28,0.295,0.76,3.75,114.7,0.211,0.08
Giants,88,3.5,1305,614,564,133,389,1211,7.52,2.42,3.11,8.11,0.83,0.237,1.17,0.282,0.73,3.58,103.1,0.204,0.07
Cardinals,90,3.5,1321,603,564,123,470,1221,7.59,2.92,2.6,8.21,0.76,0.239,1.24,0.286,0.74,3.65,136.7,0.201,0.08
Royals,89,3.51,1386,624,565,128,440,1168,7.25,2.73,2.65,8.6,0.79,0.247,1.26,0.292,0.74,3.69,142.9,0.191,0.07
Rays,77,3.56,1292,625,579,145,482,1437,8.84,2.96,2.98,7.94,0.89,0.231,1.21,0.286,0.74,3.56,149.4,0.234,0.08
Indians,85,3.57,1398,653,583,135,464,1450,8.89,2.84,3.13,8.57,0.83,0.247,1.27,0.309,0.73,3.42,181.7,0.234,0.08
Angels,98,3.58,1307,630,590,126,504,1342,8.15,3.06,2.66,7.93,0.76,0.233,1.22,0.285,0.73,3.57,138.9,0.217,0.08
Reds,76,3.59,1282,612,576,163,507,1290,8.03,3.16,2.54,7.98,1.01,0.233,1.24,0.277,0.77,4.01,111.8,0.213,0.08
Brewers,82,3.67,1386,657,594,167,431,1246,7.69,2.66,2.89,8.56,1.03,0.246,1.25,0.289,0.74,3.89,121.4,0.204,0.07
Yankees,84,3.75,1392,664,605,164,398,1370,8.49,2.47,3.44,8.62,1.02,0.246,1.23,0.298,0.73,3.67,175.4,0.224,0.07
Marlins,77,3.79,1481,674,614,114,458,1190,7.35,2.83,2.6,9.14,0.7,0.259,1.33,0.31,0.72,3.56,116.9,0.191,0.07
Phillies,73,3.81,1396,687,621,134,521,1255,7.69,3.19,2.41,8.56,0.82,0.246,1.31,0.295,0.72,3.81,137.1,0.2,0.08
Cubs,73,3.92,1398,707,638,115,504,1311,8.06,3.1,2.6,8.6,0.71,0.247,1.3,0.304,0.7,3.51,157.5,0.211,0.08
Blue Jays,83,4,1400,686,642,151,490,1199,7.48,3.06,2.45,8.73,0.94,0.25,1.31,0.294,0.73,3.97,103.7,0.195,0.08
Red Sox,71,4.01,1458,715,653,154,482,1213,7.45,2.96,2.52,8.95,0.95,0.256,1.32,0.301,0.72,3.93,106.7,0.195,0.08
Tigers,90,4.01,1475,705,648,127,462,1244,7.7,2.86,2.69,9.13,0.79,0.259,1.33,0.312,0.71,3.6,156.8,0.201,0.08
Astros,70,4.14,1437,723,662,139,484,1137,7.11,3.03,2.35,8.99,0.87,0.256,1.34,0.299,0.7,3.93,96.5,0.185,0.08
Diamondbacks,64,4.26,1467,742,683,154,469,1278,7.96,2.92,2.72,9.14,0.96,0.26,1.34,0.312,0.7,3.83,95.5,0.207,0.08
White Sox,73,4.3,1468,758,688,140,557,1152,7.2,3.48,2.07,9.17,0.87,0.261,1.41,0.306,0.7,4.1,92.8,0.184,0.09
Rangers,67,4.49,1510,773,712,160,505,1110,7,3.19,2.2,9.53,1.01,0.268,1.41,0.31,0.7,4.22,70.5,0.179,0.08
Twins,70,4.58,1588,777,730,147,408,1031,6.47,2.56,2.53,9.96,0.92,0.276,1.39,0.315,0.69,3.97,97.7,0.166,0.07
Rockies,66,4.86,1528,818,772,173,531,1074,6.75,3.34,2.02,9.61,1.09,0.27,1.44,0.307,0.69,4.43,50.2,0.172,0.09
Cardinals,100,2.94,1359,525,478,123,477,1329,8.17,2.93,2.79,8.35,0.76,0.242,1.25,0.297,0.79,3.48,193.7,0.217,0.08
Pirates,98,3.23,1392,596,534,110,453,1338,8.08,2.74,2.95,8.41,0.66,0.245,1.24,0.302,0.75,3.36,202.6,0.215,0.07
Cubs,97,3.36,1276,608,546,134,407,1431,8.81,2.51,3.52,7.86,0.83,0.23,1.15,0.287,0.73,3.3,215.5,0.239,0.07
Mets,90,3.45,1341,613,561,152,383,1337,8.23,2.36,3.49,8.25,0.94,0.239,1.18,0.288,0.74,3.53,185.7,0.221,0.06
Dodgers,92,3.46,1317,595,555,145,395,1396,8.69,2.46,3.53,8.2,0.9,0.239,1.18,0.296,0.75,3.41,188.1,0.235,0.07
Astros,86,3.57,1308,618,572,148,423,1280,7.99,2.64,3.03,8.17,0.92,0.238,1.2,0.285,0.74,3.66,185,0.215,0.07
Nationals,83,3.62,1366,635,577,145,364,1342,8.42,2.28,3.69,8.57,0.91,0.246,1.21,0.3,0.73,3.45,193.3,0.225,0.06
Indians,81,3.68,1274,640,586,161,425,1407,8.84,2.67,3.31,8,1.01,0.235,1.19,0.288,0.73,3.62,191.7,0.238,0.07
Giants,84,3.73,1344,627,599,155,431,1165,7.26,2.69,2.7,8.37,0.97,0.243,1.23,0.283,0.75,3.92,88.3,0.194,0.07
Royals,95,3.74,1372,641,603,155,489,1160,7.19,3.03,2.37,8.5,0.96,0.246,1.28,0.286,0.75,4.04,118.9,0.19,0.08
Rays,80,3.74,1314,642,604,175,477,1355,8.39,2.95,2.84,8.14,1.08,0.237,1.23,0.284,0.75,3.91,138.8,0.223,0.08
Blue Jays,93,3.81,1353,670,610,173,397,1117,6.98,2.48,2.81,8.45,1.08,0.245,1.21,0.278,0.73,4.09,132.6,0.187,0.07
Angels,85,3.94,1355,675,631,166,466,1221,7.63,2.91,2.62,8.46,1.04,0.244,1.26,0.285,0.73,4.06,118,0.2,0.08
White Sox,76,3.98,1443,701,643,162,474,1359,8.42,2.94,2.87,8.94,1,0.256,1.32,0.311,0.73,3.82,178,0.22,0.08
Yankees,87,4.03,1416,698,653,182,474,1370,8.46,2.93,2.89,8.74,1.12,0.25,1.3,0.3,0.74,3.97,170.7,0.221,0.08
Marlins,71,4.04,1374,678,640,141,508,1152,7.27,3.2,2.27,8.67,0.89,0.25,1.32,0.294,0.72,3.98,94.6,0.19,0.08
Diamondbacks,79,4.05,1450,713,660,182,500,1215,7.46,3.07,2.43,8.9,1.12,0.254,1.33,0.294,0.74,4.21,81.7,0.194,0.08
Orioles,81,4.05,1406,693,646,174,483,1233,7.73,3.03,2.55,8.82,1.09,0.253,1.32,0.298,0.74,4.11,145.8,0.203,0.08
