Team,W,ERA,H,R,ER,HR,BB,SO,KsPer9,BBper9,KperBB,Hper9,HRper9,AVG,WHIP,BABIP,LOB_pct,FIP,RAR,K_pct,BB_pct
Twins,83,4.07,1506,700,653,163,413,1046,6.52,2.58,2.53,9.39,1.02,0.265,1.33,0.3,0.73,4.1,135.8,0.17,0.07
Padres,74,4.09,1371,731,655,171,516,1393,8.7,3.22,2.7,8.57,1.07,0.248,1.31,0.303,0.71,3.93,109.3,0.229,0.09
Athletics,68,4.16,1402,729,668,172,474,1179,7.34,2.95,2.49,8.73,1.07,0.25,1.3,0.289,0.71,4.13,104.4,0.192,0.08
Mariners,76,4.16,1430,726,677,181,491,1283,7.89,3.02,2.61,8.8,1.11,0.253,1.31,0.298,0.73,4.14,99.3,0.206,0.08
Rangers,88,4.25,1459,733,682,171,508,1095,6.83,3.17,2.16,9.1,1.07,0.259,1.36,0.294,0.72,4.34,97.5,0.176,0.08
Brewers,68,4.28,1432,737,682,176,517,1260,7.9,3.24,2.44,8.98,1.1,0.257,1.36,0.303,0.72,4.17,100.9,0.205,0.08
Red Sox,78,4.34,1486,753,698,178,478,1218,7.57,2.97,2.55,9.23,1.11,0.261,1.36,0.305,0.72,4.17,99.5,0.196,0.08
Reds,64,4.35,1436,754,702,177,544,1252,7.75,3.37,2.3,8.89,1.1,0.253,1.36,0.297,0.72,4.24,88.8,0.2,0.09
Braves,67,4.41,1462,760,699,170,550,1148,7.25,3.47,2.09,9.23,1.07,0.263,1.41,0.305,0.71,4.34,43.6,0.187,0.09
Tigers,74,4.64,1491,803,746,193,489,1100,6.84,3.04,2.25,9.27,1.2,0.264,1.37,0.298,0.7,4.46,81.9,0.178,0.08
Phillies,63,4.69,1592,809,749,191,488,1153,7.22,3.06,2.36,9.98,1.2,0.275,1.45,0.316,0.71,4.4,73.7,0.182,0.08
Rockies,68,5.04,1579,844,799,183,579,1112,7.02,3.65,1.92,9.96,1.15,0.278,1.51,0.318,0.7,4.56,56.2,0.176,0.09
Cubs,103,3.15,1125,556,511,163,495,1441,8.88,3.05,2.91,6.94,1.01,0.209,1.11,0.255,0.78,3.77,192.9,0.243,0.08
Nationals,95,3.52,1272,612,571,155,468,1476,9.1,2.89,3.15,7.84,0.96,0.231,1.19,0.288,0.75,3.58,217.2,0.245,0.08
Mets,87,3.58,1398,617,576,152,439,1396,8.68,2.73,3.18,8.7,0.95,0.25,1.27,0.308,0.76,3.57,224.9,0.23,0.07
Giants,87,3.69,1333,631,599,158,439,1309,8.07,2.71,2.98,8.22,0.97,0.24,1.21,0.287,0.74,3.76,161.6,0.216,0.07
Dodgers,91,3.7,1266,638,598,165,464,1510,9.35,2.87,3.25,7.84,1.02,0.23,1.19,0.288,0.74,3.61,206,0.251,0.08
Blue Jays,89,3.79,1340,666,615,183,461,1314,8.1,2.84,2.85,8.26,1.13,0.24,1.23,0.282,0.75,4.04,182.7,0.215,0.08
Indians,94,3.86,1330,676,619,186,461,1398,8.71,2.87,3.03,8.28,1.16,0.24,1.24,0.289,0.73,3.91,178.5,0.232,0.08
Mariners,86,4,1410,707,647,213,460,1318,8.14,2.84,2.87,8.71,1.32,0.25,1.28,0.292,0.75,4.3,122.5,0.214,0.08
Red Sox,93,4,1341,694,640,176,490,1362,8.51,3.06,2.78,8.38,1.1,0.243,1.27,0.293,0.73,4,172.9,0.224,0.08
Marlins,79,4.05,1358,682,646,152,595,1379,8.65,3.73,2.32,8.52,0.95,0.247,1.36,0.303,0.74,3.97,133.4,0.224,0.1
Astros,84,4.06,1441,701,663,181,453,1396,8.56,2.78,3.08,8.83,1.11,0.253,1.29,0.306,0.73,3.85,194.3,0.226,0.07
Cardinals,86,4.08,1432,712,656,159,475,1290,8.02,2.95,2.72,8.9,0.99,0.254,1.32,0.304,0.72,3.88,165.2,0.209,0.08
Brewers,73,4.1,1450,733,653,178,532,1175,7.37,3.34,2.21,9.1,1.12,0.259,1.38,0.3,0.73,4.37,118.1,0.19,0.09
White Sox,78,4.12,1422,715,662,185,521,1270,7.9,3.24,2.44,8.85,1.15,0.254,1.34,0.298,0.74,4.27,146.7,0.205,0.08
Yankees,84,4.16,1358,702,661,214,444,1393,8.78,2.8,3.14,8.56,1.35,0.246,1.26,0.292,0.74,4.2,174.3,0.231,0.07
Rays,68,4.2,1395,713,665,210,491,1357,8.56,3.1,2.76,8.8,1.33,0.251,1.32,0.297,0.74,4.26,118.2,0.223,0.08
Royals,81,4.21,1433,712,674,206,517,1287,8.04,3.23,2.49,8.96,1.29,0.256,1.35,0.298,0.75,4.42,93.9,0.208,0.08
Orioles,89,4.22,1408,715,671,183,545,1248,7.84,3.43,2.29,8.85,1.15,0.255,1.36,0.299,0.74,4.31,149.6,0.204,0.09
Pirates,78,4.22,1491,758,681,180,533,1232,7.64,3.31,2.31,9.25,1.12,0.262,1.4,0.306,0.73,4.3,85.5,0.196,0.09
Tigers,86,4.24,1417,721,673,182,462,1232,7.76,2.91,2.67,8.93,1.15,0.256,1.32,0.3,0.72,4.16,167.5,0.204,0.08
Angels,74,4.28,1480,727,676,208,498,1136,7.19,3.15,2.28,9.37,1.32,0.266,1.39,0.301,0.75,4.62,61.7,0.186,0.08
Rangers,95,4.38,1441,757,703,201,534,1154,7.2,3.33,2.16,8.99,1.25,0.257,1.37,0.292,0.73,4.58,93.5,0.187,0.09
Padres,68,4.44,1425,770,711,183,569,1222,7.64,3.56,2.15,8.91,1.14,0.254,1.38,0.296,0.71,4.4,81.4,0.196,0.09
Braves,68,4.51,1414,779,725,177,547,1227,7.63,3.4,2.24,8.79,1.1,0.251,1.35,0.293,0.7,4.32,83.3,0.196,0.09
Athletics,69,4.51,1459,761,719,185,464,1188,7.46,2.91,2.56,9.16,1.16,0.259,1.34,0.299,0.71,4.24,114.7,0.193,0.08
Phillies,71,4.64,1468,796,741,213,466,1299,8.14,2.92,2.79,9.19,1.33,0.26,1.35,0.304,0.71,4.34,128.3,0.211,0.08
Reds,68,4.91,1457,854,787,258,636,1241,7.75,3.97,1.95,9.09,1.61,0.259,1.45,0.29,0.73,5.24,-19.6,0.196,0.1
Rockies,75,4.92,1532,860,781,181,547,1223,7.7,3.44,2.24,9.65,1.14,0.27,1.45,0.317,0.68,4.38,128.4,0.195,0.09
Twins,59,5.09,1617,889,816,221,479,1191,7.43,2.99,2.49,10.09,1.38,0.279,1.45,0.319,0.68,4.57,82.1,0.189,0.08
Diamondbacks,69,5.09,1563,890,821,202,603,1318,8.17,3.74,2.19,9.69,1.25,0.271,1.49,0.32,0.69,4.5,84,0.205,0.09
Indians,102,3.3,1267,564,529,163,406,1614,10.08,2.54,3.98,7.92,1.02,0.234,1.16,0.303,0.78,3.33,304.1,0.275,0.07
Dodgers,104,3.38,1226,580,543,184,442,1549,9.65,2.75,3.5,7.64,1.15,0.225,1.15,0.281,0.78,3.67,235,0.261,0.08
Diamondbacks,93,3.67,1309,659,588,171,516,1482,9.26,3.22,2.87,8.18,1.07,0.237,1.27,0.294,0.74,3.8,225,0.244,0.09
Red Sox,93,3.73,1384,668,615,195,465,1580,9.59,2.82,3.4,8.4,1.18,0.243,1.25,0.303,0.76,3.78,229.9,0.254,0.08
Yankees,91,3.75,1248,660,603,192,504,1560,9.69,3.13,3.1,7.75,1.19,0.226,1.21,0.28,0.75,3.88,239,0.257,0.08
Nationals,97,3.88,1300,672,624,189,495,1457,9.06,3.08,2.94,8.09,1.18,0.236,1.24,0.287,0.74,3.99,186.8,0.24,0.08
Cubs,92,3.95,1294,695,636,194,554,1439,8.95,3.44,2.6,8.05,1.21,0.236,1.28,0.285,0.74,4.2,156.7,0.236,0.09
Rays,80,3.99,1324,704,640,193,503,1352,8.42,3.13,2.69,8.25,1.2,0.239,1.26,0.283,0.73,4.17,156.1,0.222,0.08
Brewers,86,4,1381,697,642,185,553,1346,8.38,3.44,2.43,8.6,1.15,0.249,1.34,0.298,0.75,4.24,171.8,0.218,0.09
Cardinals,83,4.01,1393,705,647,183,493,1351,8.38,3.06,2.74,8.64,1.14,0.249,1.3,0.298,0.74,4.09,164.2,0.22,0.08
Astros,101,4.12,1314,700,662,192,522,1593,9.91,3.25,3.05,8.18,1.2,0.238,1.27,0.3,0.74,3.91,202.4,0.261,0.09
Angels,80,4.2,1373,709,672,224,470,1312,8.2,2.94,2.79,8.58,1.4,0.249,1.28,0.289,0.75,4.43,118.1,0.218,0.08
Pirates,75,4.23,1464,731,677,182,511,1262,7.88,3.19,2.47,9.15,1.14,0.26,1.37,0.306,0.73,4.23,136.1,0.203,0.08
Blue Jays,76,4.42,1460,784,720,203,549,1372,8.43,3.37,2.5,8.97,1.25,0.255,1.37,0.303,0.72,4.31,161.9,0.217,0.09
Mariners,78,4.46,1399,772,713,237,490,1244,7.77,3.06,2.54,8.74,1.48,0.25,1.31,0.283,0.73,4.7,91.1,0.203,0.08
Giants,64,4.5,1515,776,726,182,496,1234,7.65,3.07,2.49,9.39,1.13,0.264,1.38,0.308,0.71,4.22,115.5,0.196,0.08
Rockies,87,4.51,1453,757,721,190,532,1270,7.95,3.33,2.39,9.1,1.19,0.26,1.38,0.305,0.72,4.32,179.6,0.206,0.09
Phillies,66,4.57,1471,782,731,221,527,1309,8.18,3.29,2.48,9.19,1.38,0.261,1.39,0.304,0.73,4.56,124,0.21,0.09
Twins,85,4.6,1487,788,734,224,483,1166,7.31,3.03,2.41,9.32,1.4,0.263,1.37,0.296,0.73,4.71,96.2,0.188,0.08
Royals,80,4.63,1480,791,740,196,519,1216,7.61,3.25,2.34,9.27,1.23,0.262,1.39,0.303,0.71,4.43,118.9,0.196,0.08
Athletics,75,4.67,1444,826,743,210,502,1202,7.56,3.16,2.39,9.08,1.32,0.258,1.36,0.294,0.69,4.57,99.6,0.195,0.08
Padres,71,4.7,1417,816,747,226,554,1325,8.34,3.49,2.39,8.91,1.42,0.256,1.38,0.299,0.71,4.68,70.7,0.215,0.09
Rangers,78,4.7,1443,816,749,214,559,1107,6.95,3.51,1.98,9.05,1.34,0.259,1.4,0.289,0.71,4.88,80.6,0.178,0.09
Braves,72,4.72,1463,821,756,192,584,1258,7.86,3.65,2.15,9.14,1.2,0.259,1.42,0.302,0.7,4.51,97.4,0.2,0.09
White Sox,67,4.78,1384,820,755,242,632,1193,7.55,4,1.89,8.76,1.53,0.252,1.42,0.281,0.72,5.17,39.7,0.192,0.1
Marlins,77,4.82,1450,822,772,193,627,1202,7.5,3.91,1.92,9.05,1.2,0.258,1.44,0.298,0.71,4.69,57.6,0.19,0.1
Orioles,75,4.97,1505,841,796,242,579,1233,7.7,3.62,2.13,9.4,1.51,0.266,1.45,0.302,0.72,4.96,75.8,0.196,0.09
Mets,70,5.01,1538,863,799,220,593,1374,8.62,3.72,2.32,9.65,1.38,0.268,1.49,0.319,0.71,4.59,93.2,0.215,0.09
Reds,68,5.17,1442,869,821,248,631,1300,8.18,3.97,2.06,9.08,1.56,0.259,1.45,0.296,0.71,5.08,31.2,0.207,0.1
Tigers,64,5.36,1587,894,846,218,538,1202,7.62,3.41,2.23,10.06,1.38,0.278,1.5,0.32,0.69,4.73,102.4,0.191,0.09
