"Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","H","1B","2B","3B","BB","IBB","SO","HBP","SF","GDP","CS","BB%","K%","BB/K","GB/FB","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Zone% (pi)","F-Strike%","SwStr%","HR/FB","BUH","IFH"
"Phillies","131560","3568","15533","14781","2168",".156",".296",".257",".328",".413",".323","94","29952","19658","6001","725","11618","1047","24829","1236","869","2404","631","8.8 %","18.9 %","0.47","1.24","20.8 %","43.9 %","35.3 %","10.2 %","6.0 %","20.3 %","41.1 %","34.0 %","24.8 %","17.8 %","53.3 %","28.9 %","29.9 %","61.8 %","45.5 %","62.3 %","87.5 %","48.9 %","47.3 %","9.2 %","11.4 %","348","1959"
"Diamondbacks","130766","3573","15410","14694","1922",".160",".297",".257",".326",".417",".322","90","29903","19348","6113","869","11281","977","25116","1039","928","2466","769","8.6 %","19.2 %","0.45","1.26","20.5 %","44.4 %","35.2 %","10.8 %","5.9 %","19.1 %","39.8 %","33.9 %","26.2 %","16.9 %","53.7 %","29.5 %","28.9 %","62.1 %","45.2 %","61.1 %","86.1 %","49.2 %","47.8 %","9.5 %","10.9 %","321","1907"
"Twins","130527","3074","15542","14701","2006",".144",".302",".264",".329",".408",".322","95","30843","20853","6201","715","10815","724","22987","1015","983","2767","866","8.3 %","17.6 %","0.47","1.34","20.1 %","45.7 %","34.1 %","10.0 %","6.5 %","32.3 %","40.1 %","33.3 %","26.6 %","16.5 %","55.9 %","27.6 %","29.0 %","60.0 %","44.5 %","65.5 %","87.8 %","50.0 %","47.9 %","8.7 %","10.0 %","501","2253"
"Dodgers","130216","3415","15067","14322","2125",".148",".295",".258",".328",".407",".321","97","29856","20154","5681","606","11293","952","23479","1151","870","2627","868","8.7 %","18.0 %","0.48","1.31","20.9 %","44.9 %","34.2 %","9.8 %","6.3 %","19.8 %","39.1 %","34.0 %","26.9 %","17.2 %","55.2 %","27.7 %","28.9 %","61.5 %","45.0 %","64.9 %","87.6 %","49.3 %","47.7 %","8.9 %","10.5 %","403","2088"
"Giants","130724","3161","15137","14372","1657",".147",".297",".261",".329",".408",".320","96","30311","20336","6055","759","11182","1200","22484","1010","986","2725","750","8.6 %","17.2 %","0.50","1.29","20.0 %","45.0 %","35.0 %","10.5 %","6.3 %","19.3 %","40.0 %","34.4 %","25.6 %","17.3 %","55.7 %","27.1 %","31.0 %","64.8 %","47.5 %","65.0 %","87.3 %","48.8 %","48.1 %","9.2 %","8.9 %","363","2127"
"Devil Rays","129656","3417","14941","14222","2486",".151",".297",".256",".325",".407",".320","97","29660","19690","5847","706","10942","594","25070","1260","951","2476","994","8.4 %","19.3 %","0.44","1.20","19.8 %","43.7 %","36.5 %","10.9 %","6.6 %","31.6 %","42.4 %","32.6 %","25.0 %","16.7 %","55.1 %","28.2 %","28.0 %","63.7 %","45.4 %","61.4 %","85.4 %","48.8 %","48.4 %","10.0 %","10.8 %","405","2103"
"Mariners","130148","3491","15216","14461","2173",".148",".297",".260",".325",".408",".320","98","30391","20648","5716","536","10547","760","23513","1080","925","2536","822","8.1 %","18.1 %","0.45","1.28","19.9 %","45.0 %","35.1 %","10.5 %","7.1 %","26.6 %","40.1 %","33.1 %","26.8 %","17.2 %","55.4 %","27.4 %","30.5 %","62.7 %","46.3 %","63.5 %","87.4 %","49.1 %","47.3 %","9.2 %","10.0 %","357","2383"
"Expos","129462","3349","14668","13945","1953",".150",".295",".255",".323",".406",".318","91","29420","19420","6042","609","10865","977","24389","1122","866","2588","840","8.4 %","18.8 %","0.45","1.34","19.9 %","45.8 %","34.3 %","10.0 %","6.2 %","20.4 %","39.3 %","34.1 %","26.6 %","17.5 %","54.9 %","27.7 %","29.6 %","62.0 %","45.4 %","62.8 %","86.9 %","48.7 %","48.4 %","9.4 %","11.0 %","440","2071"
"Mets","130418","3369","14891","14181","2143",".148",".292",".255",".325",".403",".318","95","29455","19629","5879","578","11427","1033","23825","1116","907","2570","789","8.8 %","18.3 %","0.48","1.21","20.6 %","43.5 %","36.0 %","10.3 %","6.3 %","20.9 %","40.1 %","33.5 %","26.4 %","17.8 %","54.3 %","27.9 %","28.9 %","61.7 %","45.0 %","65.2 %","87.8 %","49.1 %","47.8 %","8.9 %","10.2 %","407","2004"
"Royals","129394","2877","15132","14304","2312",".138",".301",".266",".323",".404",".318","90","31127","21479","6009","762","9264","575","21420","1172","995","2827","851","7.2 %","16.6 %","0.43","1.31","20.5 %","45.2 %","34.4 %","10.5 %","6.3 %","28.0 %","39.6 %","33.4 %","27.0 %","17.4 %","55.5 %","27.1 %","31.8 %","63.8 %","47.5 %","66.4 %","88.9 %","48.9 %","48.3 %","8.8 %","8.7 %","437","2193"
"Marlins","129848","3122","14552","13782","2140",".144",".303",".258",".324",".401",".316","92","29858","20182","5832","722","10500","900","25293","1227","870","2529","873","8.1 %","19.5 %","0.42","1.35","20.5 %","45.7 %","33.8 %","10.7 %","6.7 %","22.7 %","39.4 %","33.8 %","26.9 %","18.2 %","54.0 %","27.8 %","30.1 %","61.6 %","45.5 %","62.4 %","87.0 %","49.0 %","48.0 %","9.6 %","10.4 %","496","2240"
"Pirates","129374","3081","14365","13697","1852",".143",".297",".254",".321",".397",".314","90","29382","19741","5887","673","10244","815","24769","1477","874","2510","861","7.9 %","19.1 %","0.41","1.30","20.3 %","45.1 %","34.7 %","9.7 %","6.8 %","17.9 %","40.6 %","33.7 %","25.7 %","17.6 %","55.3 %","27.1 %","29.6 %","62.7 %","45.9 %","63.0 %","87.1 %","49.2 %","48.6 %","9.5 %","9.8 %","326","2234"
"Padres","129387","3073","14158","13437","2156",".140",".292",".248",".319",".388",".310","92","28540","19264","5541","662","11337","797","25680","988","899","2463","805","8.8 %","19.8 %","0.44","1.27","20.3 %","44.7 %","35.0 %","10.0 %","6.2 %","21.1 %","40.2 %","33.7 %","26.1 %","17.4 %","54.7 %","27.8 %","29.5 %","63.2 %","46.1 %","60.2 %","86.0 %","49.3 %","48.2 %","9.9 %","9.7 %","390","1978"
