Team,PA,HR,R,RBI,SB,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC_Plus,H,1B,2B,3B,BB,IBB,SO,HBP,SF,GDP,CS,BB,K,BB_to_K,GB_to_FB,LD,GB,FB,IFFB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,HR_to_FB,BUH,IFH
Mariners,6199,239,758,730,115,0.187,0.287,0.237,0.316,0.424,0.314,98,1305,784,254,28,588,7,1581,58,37,83,47,0.0950,0.2550,0.37,1.05,0.208,0.405,0.387,0.097,0.068,0.135,0.395,0.338,0.267,0.196,0.478,0.326,0.157,5,109
Pirates,6228,163,758,722,64,0.156,0.309,0.265,0.321,0.42,0.313,92,1497,981,315,38,425,41,1213,63,34,119,29,0.0680,0.1950,0.35,1.47,0.218,0.466,0.316,0.084,0.062,0.195,0.393,0.338,0.269,0.193,0.468,0.339,0.116,16,128
Reds,6100,227,701,679,80,0.178,0.288,0.244,0.315,0.422,0.312,87,1328,839,235,27,492,25,1436,89,33,111,38,0.0810,0.2350,0.34,1.15,0.221,0.417,0.363,0.101,0.057,0.096,0.401,0.340,0.259,0.176,0.447,0.377,0.155,5,95
Blue Jays,6091,247,726,697,51,0.192,0.28,0.236,0.305,0.428,0.31,92,1299,761,270,21,509,10,1514,45,28,107,20,0.0840,0.2490,0.34,1.01,0.210,0.398,0.392,0.112,0.057,0.235,0.443,0.328,0.229,0.179,0.442,0.378,0.158,8,91
White Sox,6042,182,708,676,63,0.153,0.329,0.261,0.314,0.414,0.309,93,1443,981,260,20,378,13,1549,66,32,114,28,0.0630,0.2560,0.24,1.45,0.212,0.466,0.322,0.095,0.078,0.258,0.380,0.333,0.287,0.176,0.496,0.328,0.142,16,145
Orioles,6189,213,729,698,84,0.168,0.293,0.246,0.31,0.415,0.308,88,1379,889,252,25,462,8,1435,71,37,111,30,0.0750,0.2320,0.32,1.23,0.203,0.439,0.357,0.107,0.075,0.361,0.415,0.341,0.244,0.189,0.487,0.324,0.144,26,137
Padres,6019,219,682,652,70,0.172,0.293,0.238,0.308,0.41,0.305,88,1281,814,224,24,504,19,1581,55,31,120,37,0.0840,0.2630,0.32,1.32,0.194,0.458,0.348,0.120,0.071,0.325,0.408,0.353,0.239,0.194,0.417,0.390,0.166,25,123
Royals,6080,162,691,655,117,0.154,0.301,0.247,0.309,0.401,0.302,84,1356,873,281,40,456,17,1405,59,42,113,39,0.0750,0.2310,0.32,1.29,0.211,0.444,0.345,0.097,0.069,0.371,0.401,0.340,0.258,0.169,0.462,0.369,0.115,26,125
Giants,6170,167,678,655,47,0.153,0.29,0.239,0.302,0.392,0.295,83,1332,839,300,26,475,26,1435,50,42,111,28,0.0770,0.2330,0.33,1.23,0.227,0.426,0.346,0.084,0.054,0.328,0.393,0.351,0.256,0.162,0.454,0.384,0.116,20,96
Tigers,6039,149,582,556,57,0.148,0.308,0.24,0.294,0.388,0.29,77,1333,851,292,41,391,14,1595,48,42,108,20,0.0650,0.2640,0.25,1.16,0.230,0.414,0.356,0.100,0.063,0.222,0.399,0.350,0.252,0.158,0.456,0.386,0.106,8,104
Marlins,6045,146,615,593,55,0.134,0.3,0.241,0.298,0.375,0.288,79,1326,897,265,18,395,16,1469,73,33,139,30,0.0650,0.2430,0.27,1.6,0.212,0.485,0.303,0.086,0.070,0.145,0.384,0.347,0.269,0.172,0.441,0.387,0.119,9,138
